| Name                                     | Version  | License                                                      |
|------------------------------------------|----------|--------------------------------------------------------------|
| Authlib                                  | 1.7.2    | BSD License                                                  |
| PyJWT                                    | 2.13.0   | MIT                                                          |
| PyYAML                                   | 6.0.3    | MIT License                                                  |
| Pygments                                 | 2.20.0   | BSD-2-Clause                                                 |
| aiofile                                  | 3.9.0    | Apache Software License                                      |
| aiohappyeyeballs                         | 2.6.1    | Python Software Foundation License                           |
| aiohttp                                  | 3.14.1   | Apache-2.0 AND MIT                                           |
| aiosignal                                | 1.4.0    | Apache Software License                                      |
| annotated-types                          | 0.7.0    | MIT License                                                  |
| anyio                                    | 4.12.1   | MIT                                                          |
| attrs                                    | 25.4.0   | MIT                                                          |
| backports.tarfile                        | 1.2.0    | MIT License                                                  |
| beartype                                 | 0.22.9   | MIT License                                                  |
| beautifulsoup4                           | 4.14.3   | MIT License                                                  |
| cachetools                               | 7.0.1    | MIT                                                          |
| caio                                     | 0.9.25   | UNKNOWN                                                      |
| certifi                                  | 2026.1.4 | Mozilla Public License 2.0 (MPL 2.0)                         |
| cffi                                     | 2.0.0    | MIT                                                          |
| charset-normalizer                       | 3.4.4    | MIT                                                          |
| click                                    | 8.3.1    | BSD-3-Clause                                                 |
| coverage                                 | 7.13.4   | Apache-2.0                                                   |
| cryptography                             | 49.0.0   | Apache-2.0 OR BSD-3-Clause                                   |
| curl_cffi                                | 0.15.0   | MIT                                                          |
| cyclopts                                 | 4.5.4    | Apache-2.0                                                   |
| distro                                   | 1.9.0    | Apache Software License                                      |
| dnspython                                | 2.8.0    | ISC License (ISCL)                                           |
| docstring_parser                         | 0.17.0   | MIT License                                                  |
| docutils                                 | 0.22.4   | BSD License; GNU General Public License (GPL); Public Domain |
| duckduckgo_search                        | 8.1.1    | MIT License                                                  |
| email-validator                          | 2.3.0    | The Unlicense (Unlicense)                                    |
| exceptiongroup                           | 1.3.1    | MIT License                                                  |
| fastmcp                                  | 3.4.2    | Apache-2.0                                                   |
| fastmcp-slim                             | 3.4.2    | Apache-2.0                                                   |
| filelock                                 | 3.29.4   | MIT                                                          |
| frozenlist                               | 1.8.0    | Apache-2.0                                                   |
| google-api-core                          | 2.30.0   | Apache Software License                                      |
| google-auth                              | 2.48.0   | Apache Software License                                      |
| google-cloud-core                        | 2.5.0    | Apache Software License                                      |
| google-cloud-firestore                   | 2.26.0   | Apache Software License                                      |
| google-genai                             | 1.64.0   | Apache-2.0                                                   |
| googleapis-common-protos                 | 1.72.0   | Apache Software License                                      |
| griffelib                                | 2.1.0    | ISC                                                          |
| grpcio                                   | 1.81.0   | Apache-2.0                                                   |
| grpcio-status                            | 1.81.0   | Apache-2.0                                                   |
| h11                                      | 0.16.0   | MIT License                                                  |
| httpcore                                 | 1.0.9    | BSD-3-Clause                                                 |
| httptools                                | 0.8.0    | MIT                                                          |
| httpx                                    | 0.28.1   | BSD License                                                  |
| httpx-sse                                | 0.4.3    | MIT                                                          |
| idna                                     | 3.18     | BSD-3-Clause                                                 |
| importlib_metadata                       | 8.7.1    | Apache-2.0                                                   |
| iniconfig                                | 2.3.0    | MIT                                                          |
| jaraco.classes                           | 3.4.0    | MIT License                                                  |
| jaraco.context                           | 6.1.0    | MIT                                                          |
| jaraco.functools                         | 4.4.0    | MIT                                                          |
| joserfc                                  | 1.7.2    | BSD License                                                  |
| jsonref                                  | 1.1.0    | MIT                                                          |
| jsonschema                               | 4.26.0   | MIT                                                          |
| jsonschema-path                          | 0.4.1    | Apache Software License                                      |
| jsonschema-specifications                | 2025.9.1 | MIT                                                          |
| keyring                                  | 25.7.0   | MIT                                                          |
| lxml                                     | 6.1.1    | BSD-3-Clause                                                 |
| markdown-it-py                           | 4.0.0    | MIT License                                                  |
| mcp                                      | 1.26.0   | MIT License                                                  |
| mdurl                                    | 0.1.2    | MIT License                                                  |
| more-itertools                           | 10.8.0   | MIT                                                          |
| multidict                                | 6.7.1    | Apache License 2.0                                           |
| nest-asyncio                             | 1.6.0    | BSD License                                                  |
| nucleus-mcp                              | 1.14.3   | UNKNOWN                                                      |
| numpy                                    | 2.4.4    | BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0           |
| openapi-pydantic                         | 0.5.1    | MIT License                                                  |
| opentelemetry-api                        | 1.41.0   | Apache-2.0                                                   |
| opentelemetry-exporter-otlp-proto-common | 1.41.0   | Apache-2.0                                                   |
| opentelemetry-exporter-otlp-proto-grpc   | 1.41.0   | Apache-2.0                                                   |
| opentelemetry-proto                      | 1.41.0   | Apache-2.0                                                   |
| opentelemetry-sdk                        | 1.41.0   | Apache-2.0                                                   |
| opentelemetry-semantic-conventions       | 0.62b0   | Apache-2.0                                                   |
| packaging                                | 26.0     | Apache-2.0 OR BSD-2-Clause                                   |
| pathable                                 | 0.5.0    | Apache Software License                                      |
| platformdirs                             | 4.9.2    | MIT                                                          |
| pluggy                                   | 1.6.0    | MIT License                                                  |
| primp                                    | 1.0.0    | MIT License                                                  |
| propcache                                | 0.4.1    | Apache Software License                                      |
| proto-plus                               | 1.27.1   | Apache Software License                                      |
| protobuf                                 | 6.33.5   | 3-Clause BSD License                                         |
| py-cpuinfo                               | 9.0.0    | MIT License                                                  |
| py-key-value-aio                         | 0.4.4    | Apache Software License                                      |
| pyasn1                                   | 0.6.3    | BSD-2-Clause                                                 |
| pyasn1_modules                           | 0.4.2    | BSD License                                                  |
| pycparser                                | 3.0      | BSD-3-Clause                                                 |
| pydantic                                 | 2.12.5   | MIT                                                          |
| pydantic-settings                        | 2.14.2   | MIT                                                          |
| pydantic_core                            | 2.41.5   | MIT                                                          |
| pyperclip                                | 1.11.0   | BSD License                                                  |
| pytest                                   | 9.1.1    | MIT                                                          |
| pytest-asyncio                           | 1.3.0    | Apache-2.0                                                   |
| pytest-benchmark                         | 5.2.3    | BSD-2-Clause                                                 |
| pytest-cov                               | 7.0.0    | MIT                                                          |
| pytest-timeout                           | 2.4.0    | DFSG approved; MIT License                                   |
| python-dotenv                            | 1.2.2    | BSD-3-Clause                                                 |
| python-multipart                         | 0.0.32   | Apache-2.0                                                   |
| rank-bm25                                | 0.2.2    | Apache2.0                                                    |
| referencing                              | 0.37.0   | MIT                                                          |
| requests                                 | 2.34.2   | Apache Software License                                      |
| rich                                     | 14.3.3   | MIT License                                                  |
| rich-rst                                 | 1.3.2    | MIT                                                          |
| rpds-py                                  | 0.30.0   | MIT                                                          |
| rsa                                      | 4.9.1    | Apache Software License                                      |
| ruff                                     | 0.15.2   | MIT License                                                  |
| sniffio                                  | 1.3.1    | Apache Software License; MIT License                         |
| soupsieve                                | 2.8.3    | MIT                                                          |
| sse-starlette                            | 3.2.0    | BSD-3-Clause                                                 |
| starlette                                | 1.3.1    | BSD-3-Clause                                                 |
| tenacity                                 | 9.1.4    | Apache Software License                                      |
| typing-inspection                        | 0.4.2    | MIT                                                          |
| typing_extensions                        | 4.15.0   | PSF-2.0                                                      |
| uncalled-for                             | 0.3.2    | MIT License                                                  |
| urllib3                                  | 2.7.0    | MIT                                                          |
| uvicorn                                  | 0.41.0   | BSD-3-Clause                                                 |
| uvloop                                   | 0.22.1   | Apache Software License; MIT License                         |
| watchdog                                 | 6.0.0    | Apache Software License                                      |
| watchfiles                               | 1.1.1    | MIT License                                                  |
| websockets                               | 15.0.1   | BSD License                                                  |
| xattr                                    | 1.3.0    | MIT                                                          |
| yarl                                     | 1.22.0   | Apache Software License                                      |
| zipp                                     | 3.23.0   | MIT                                                          |
